Date,Close,High,Low,Open,Volume
01-01-1996,4.617049217,4.624903206,4.569925286,4.600219456,104121369
02-01-1996,4.581145763,4.628270302,4.547485935,4.605830417,168743308
03-01-1996,4.615927696,4.868378625,4.605829839,4.656319425,209323879
04-01-1996,4.573290825,4.586754933,4.511580703,4.572169041,216900264
05-01-1996,4.541873932,4.555338037,4.502603999,4.555338037,166708467
08-01-1996,4.360109806,4.536264697,4.315229745,4.532899045,186974245
09-01-1996,4.234445095,4.308497235,4.089706766,4.231079443,388766555
10-01-1996,4.125611782,4.251276224,4.106538148,4.151418221,276606655
11-01-1996,4.254641533,4.274837844,4.078486649,4.084096769,409645726
12-01-1996,4.209760666,4.318594991,4.181710372,4.286056662,374687924
15-01-1996,4.16600275,4.218736792,4.142440789,4.197418698,199981539
16-01-1996,4.173857212,4.196297092,4.137952925,4.151417033,217247573
17-01-1996,4.007801056,4.157028058,3.973019444,4.151417937,299629901
18-01-1996,3.896721601,3.969651959,3.855207795,3.905698273,377502810
19-01-1996,3.828281164,3.891113692,3.802475322,3.842867362,324535340
22-01-1996,3.893356085,3.943846265,3.837255485,3.840622037,338613971
23-01-1996,3.72842145,3.923649951,3.523094493,3.906819892,354919302
24-01-1996,3.600512505,3.718323223,3.545534589,3.695883043,351185727
25-01-1996,3.449042559,3.608366798,3.427724461,3.592658821,360855771
26-01-1996,3.449042559,3.449042559,3.449042559,3.449042559,0
29-01-1996,3.720567465,3.753106106,3.412016813,3.433334313,652902286
30-01-1996,4.054925442,4.241178216,3.781156401,3.83725611,1061936020
31-01-1996,3.966285229,4.168245887,3.8653046,4.016775393,731560842
01-02-1996,4.125611782,4.151418221,3.915797317,3.92701696,640422958
02-02-1996,4.573290825,4.622659222,4.235567231,4.235567231,818725675
05-02-1996,4.953650475,5.053508751,4.679881478,4.824619814,1222482548
06-02-1996,4.538507938,5.161220983,4.434161639,5.072582358,1242315590
07-02-1996,4.622657299,4.667537342,4.24229767,4.287177713,895441820
08-02-1996,5.026580334,5.108486758,4.622658633,4.669782557,821653997
09-02-1996,5.318301678,5.430501672,5.028824421,5.206101084,994440377
12-02-1996,4.985066891,5.273422106,4.914380392,5.183661978,971599188
13-02-1996,5.284641266,5.478747977,4.894183676,4.936819564,1019034918
14-02-1996,5.288007259,5.496699874,5.247615836,5.419282081,622459505
15-02-1996,5.203857422,5.329521821,5.116340876,5.161221233,699136437
16-02-1996,5.111853123,5.166831641,5.072583181,5.116341459,495646793
19-02-1996,5.163464069,5.277908813,5.133170208,5.206100252,518231701
20-02-1996,4.890817642,5.182539063,4.82461949,5.161221268,639131752
21-02-1996,4.890817642,4.890817642,4.890817642,4.890817642,0
22-02-1996,5.148878574,5.183660774,4.960381988,5.004140258,613558303
23-02-1996,5.093901157,5.150000556,5.008628177,5.138780916,546094871
26-02-1996,5.105120182,5.256590698,5.072582151,5.149999935,544960514
27-02-1996,5.046776295,5.16122105,4.960382136,5.134292238,542491536
28-02-1996,5.071461678,5.201613842,5.060241436,5.144392349,427826248
29-02-1996,4.753934383,5.044533169,4.723640212,5.026581323,697898447
01-03-1996,4.780862331,4.851548835,4.679882254,4.790960789,723172202
04-03-1996,4.731493473,4.82461954,4.67651496,4.802179362,673407539
05-03-1996,4.731493473,4.731493473,4.731493473,4.731493473,0
06-03-1996,4.899794102,4.932332438,4.77076374,4.813399932,543855566
07-03-1996,4.943551064,5.054629858,4.919989104,4.968235706,854410306
08-03-1996,4.91774559,4.936819215,4.819009416,4.880719225,646827174
11-03-1996,4.93345356,4.948039449,4.827985183,4.847058808,631091821
12-03-1996,5.187026978,5.340741681,4.903160134,4.925600313,803011329
13-03-1996,5.098389626,5.121952794,4.987311385,5.049022118,577715422
14-03-1996,5.097267151,5.147757332,5.060240778,5.093901498,597611484
15-03-1996,4.930088997,5.086047889,4.891940537,5.070339911,622444100
18-03-1996,4.705687523,4.891940276,4.687735678,4.879598551,667319823
19-03-1996,4.416210175,4.775251842,4.319717854,4.689979161,1037292464
20-03-1996,4.416210175,4.416210175,4.416210175,4.416210175,0
21-03-1996,4.73261404,4.781981821,4.600217769,4.600217769,670459612
22-03-1996,4.540751934,4.643976139,4.454357186,4.643976139,674824785
25-03-1996,4.513825893,4.624904445,4.4487495,4.599098605,457166882
26-03-1996,4.484651089,4.577777734,4.342156661,4.48801734,532380354
27-03-1996,4.643976688,4.711296921,4.623780678,4.645098772,377229724
28-03-1996,4.704565048,4.72812701,4.640610467,4.656318441,359409115
29-03-1996,4.641732216,4.729248758,4.627146325,4.698954594,325958187
01-04-1996,4.685491085,4.701199661,4.622659179,4.66192912,247509698
02-04-1996,4.697834015,4.757300276,4.65071008,4.695590146,367425238
03-04-1996,4.737102985,4.856036082,4.725883346,4.803301438,297032084
04-04-1996,4.681002617,4.69671059,4.631634231,4.689978387,241840713
05-04-1996,4.681002617,4.681002617,4.681002617,4.681002617,0
